"tract","Name","Fraction_Non-White_in_2010"
48245007001,"Port Arthur, TX",0.6272
17031750200,"South Side, Chicago, IL",0.6263
22079010500,"Alexandria, LA",0.6222
24003730506,"South Gate, Glen Burnie, MD",0.6088
6073013905,"Spring Valley, CA",0.6085
6065043313,"Hemet, CA",0.5973
10001042500,"Milford, DE",0.5957
25023510502,"Brockton, MA",0.5908
6059001102,"Los Nietos, La Habra, CA",0.5868
37093970101,"Raeford, NC",0.5828
6037128101,"Van Nuys, Los Angeles, CA",0.5797
51075400300,"Maidens, VA",0.5789
6037402404,"Westmont, Pomona, CA",0.5763
37129010200,"Ardmore, Wilmington, NC",0.5761
36051031000,"Dansville, NY",0.5734
36047030200,"Kings County, NY",0.5731
9009165700,"Hamden, CT",0.5691
6085513000,"Stanford, CA",0.5664
34017013300,"Kearny, NJ",0.5654
9009141800,"Prospect Hill, New Haven, CT",0.564
42091203500,"Norristown, PA",0.5623
6059021813,"Anaheim Hills, Anaheim, CA",0.56
48469000700,"Victoria, TX",0.5501
51059452101,"Annandale, VA",0.5469
4013105800,"Alhambra, Phoenix, AZ",0.5453
12095016410,"Orlando, FL",0.5423
34001013201,"Ventnor City, NJ",0.5405
6085506605,"West San Jose, San Jose, CA",0.5369
12057013801,"Concerned Citizens of Gibsonton Area, Gibsonton, FL",0.5366
9003496800,"West Hartford, CT",0.5362
6067009323,"Elk Grove, CA",0.5343
48037010700,"Texarkana, TX",0.534
12099005815,"Seminole Manor, Lantana, FL",0.5165
6041104102,"Novato, CA",0.5128
17031802504,"Wheeling, IL",0.5119
28085950600,"Brookhaven, MS",0.5113
26005032401,"Holland, MI",0.5099
15003009502,"Schofield Barracks, HI",0.5095
24003740103,"Hanover, MD",0.5078
6065044604,"Desert Park Estates, Palm Springs, CA",0.5039
36047044600,"Kings County, NY",0.4997
17031150700,"Portage Park, Chicago, IL",0.4946
36047048200,"Kings County, NY",0.4945
32003005105,"Midway, Henderson, NV",0.4941
17031243200,"West Town, Chicago, IL",0.4935
45083021403,"Spartanburg, SC",0.4917
48339693800,"Conroe, TX",0.4877
36081146700,"Queens County, NY",0.4846
24510250500,"Curtis Bay, Baltimore, MD",0.4815
12097043204,"Saint Cloud, FL",0.4805
48041001000,"Bryan, TX",0.4797
6037920339,"Stevenson Ranch, CA",0.4772
36061003002,"Alphabet City, New York, NY",0.4768
12085001301,"Stuart, FL",0.4738
36065020300,"Utica, NY",0.4722
35001003725,"Academy Acres North, Albuquerque, NM",0.4705
36047050400,"Kings County, NY",0.469
34005703103,"Lumberton, NJ",0.4664
12021010413,"Rural Estates, Naples, FL",0.4632
12031015400,"Arlington, Jacksonville, FL",0.4619
48355001400,"Bay Area, Corpus Christi, TX",0.4585
17043845803,"Lemont, IL",0.4583
36081051300,"Queens County, NY",0.455
12105012502,"Davenport, FL",0.4534
26025000600,"Battle Creek, MI",0.45
48245000308,"Beaumont, TX",0.4488
32031003306,"Incline Village, NV",0.448
47037011700,"East Nashville, Nashville, TN",0.4462
42101035701,"Bustleton, Philadelphia, PA",0.4462
48423001602,"Tyler, TX",0.4439
12031014702,"Arlington, Jacksonville, FL",0.439
6067008513,"Folsom, CA",0.4379
28097950100,"Winona, MS",0.4364
35001003707,"Highlands North, Albuquerque, NM",0.4362
6099000501,"Modesto, CA",0.4338
27053107400,"Longfellow, Minneapolis, MN",0.4334
48251130303,"Cleburne, TX",0.4248
32003001708,"Las Vegas, NV",0.4235
45051051503,"Myrtle Beach, SC",0.4233
48201343000,"La Porte, TX",0.4221
17183000100,"Danville, IL",0.4204
34023001701,"Edison, NJ",0.4185
37183054205,"Wake Forest, NC",0.417
6001450300,"Dublin, CA",0.414
48113017811,"Meadowdale, Mesquite, TX",0.4079
32003003412,"Woodcrest, Las Vegas, NV",0.4054
34021002602,"White Horse, Hamilton Township, NJ",0.4018
53033005301,"Northeast Seattle, Seattle, WA",0.3949
6085505800,"Central San Jose, San Jose, CA",0.394
35043010716,"Rio Rancho, NM",0.3905
41067032606,"Hillsboro, OR",0.3885
13089021912,"Stone Mountain, GA",0.3851
51111930300,"Kenbridge, VA",0.3847
45009960300,"Olar, SC",0.3819
41051007700,"Northeast Portland, Portland, OR",0.3804
12095016716,"Orlando, FL",0.3798
51059430201,"Fairfax, VA",0.3786
8037000301,"El Jebel, CO",0.3774
4013422302,"Mesa, AZ",0.3773
19193001000,"Sioux City, IA",0.3766
12099007910,"West Palm Beach, FL",0.3764
8087000700,"Brush, CO",0.3763
48329010105,"Fairmont Park, Midland, TX",0.3732
6037920016,"Santa Clarita, CA",0.3701
36047024600,"Kings County, NY",0.3661
37133002201,"Jacksonville, NC",0.3661
12011020319,"Coral Springs, FL",0.365
8005083200,"Tallgrass, Aurora, CO",0.3616
6111005401,"Camarillo, CA",0.3609
53033021100,"Ridgecrest, Shoreline, WA",0.3607
17031812700,"Oak Park, IL",0.3588
13215010107,"Midland, Columbus, GA",0.3579
6067007501,"Sacramento, CA",0.3578
29019001502,"Columbia, MO",0.3565
48123970300,"Cuero, TX",0.3558
48085031716,"Far North Dallas, Dallas, TX",0.3555
17031807800,"Skokie, IL",0.3548
6065042207,"Canyon Crest, Riverside, CA",0.3523
27123042202,"Saint Paul, MN",0.3516
4013814800,"Gilbert, AZ",0.3515
22123000300,"Pioneer, LA",0.349
22109000500,"Houma, LA",0.3459
48277001000,"Paris, TX",0.3459
18003000500,"Spy Run, Fort Wayne, IN",0.3436
48167723600,"Hitchcock, TX",0.3435
6037573601,"South of Conant, Long Beach, CA",0.3409
53033023801,"West Bellevue, Bellevue, WA",0.3387
10001040900,"Dover, DE",0.3385
37191000500,"Goldsboro, NC",0.3385
4021000208,"Florence, AZ",0.3377
53033023300,"West Lake Sammamish, Bellevue, WA",0.3362
24510130806,"Woodberry, Baltimore, MD",0.3361
48453001714,"Canyon Creek, Austin, TX",0.3348
1089011022,"Madison, AL",0.3294
37183053604,"Preston, Cary, NC",0.3269
8059015900,"Lakewood, CO",0.3266
6073018504,"Fire Mountain, Oceanside, CA",0.3256
13245010906,"Goshen, Augusta, GA",0.3223
13153021107,"Bonaire, GA",0.3219
48339692400,"Montgomery County, TX",0.3192
47037015622,"Hermitage, Nashville, TN",0.3179
53033008002,"Belltown, Seattle, WA",0.3173
17031242900,"West Town, Chicago, IL",0.3162
4013104224,"Glendale, AZ",0.3099
6059042331,"Laguna Niguel, CA",0.3095
6085511702,"Country Club, Los Altos, CA",0.3085
36071013500,"Highland Mills, Woodbury, NY",0.3057
26125167500,"Farmington Hills, MI",0.3055
13299950900,"Waycross, GA",0.3044
36029001700,"Babcock, Buffalo, NY",0.3028
37081015703,"Greensboro, NC",0.3019
41051008901,"Pleasant Valley, Portland, OR",0.3015
6085511913,"Almaden, San Jose, CA",0.3013
25009204701,"Salem, MA",0.2982
12011100104,"Hollywood, FL",0.2979
37097061501,"Mooresville, NC",0.2958
6013303205,"Campanello, Brentwood, CA",0.2957
34025811301,"Howell, NJ",0.2952
53021020700,"Pasco, WA",0.2946
37183053603,"Cary, NC",0.2943
39113050103,"Miamisburg, OH",0.2928
6067009403,"Wilton, CA",0.292
6111007509,"Thousand Oaks, CA",0.2894
37157040502,"Eden, NC",0.2889
53071920000,"Burbank, WA",0.2871
26139024900,"Holland, MI",0.2834
12101032602,"Mills Estate, Dade City, FL",0.2822
51700032005,"Central Newport News, Newport News, VA",0.2801
40027201902,"South Oklahoma City, Oklahoma City, OK",0.2799
48085030203,"Anna, TX",0.2798
25017383600,"Framingham, MA",0.2797
17043846201,"Naperville, IL",0.2768
1109189200,"Troy, AL",0.2735
12103024408,"Saint Petersburg, FL",0.2725
29095012502,"Raytown, MO",0.2709
37065021600,"Macclesfield, NC",0.2692
5045031006,"Conway, AR",0.2684
29189216300,"Clayton, MO",0.2675
54039000200,"Charleston, WV",0.2608
6073009804,"San Carlos, San Diego, CA",0.2596
20173005700,"South Seneca, Wichita, KS",0.2563
13225040102,"Byron, GA",0.2556
47037019115,"Holt Woods, Nashville, TN",0.2551
1077010600,"North Florence, Florence, AL",0.2551
26049003500,"Flint, MI",0.2549
53011040711,"North Sifton - Orchards Area, Vancouver, WA",0.2547
17031071800,"Lincoln Park, Chicago, IL",0.2536
11001008301,"Northeast Washington, Washington, DC",0.2527
26163567202,"Westland, MI",0.248
12031015801,"Arlington, Jacksonville, FL",0.242
37105030501,"Sanford, NC",0.2383
54037972506,"Charles Town, WV",0.2375
25017321200,"Marlborough, MA",0.2371
34011010301,"Cedarville, Lawrence Township, NJ",0.2365
26081014502,"Chateau Hills, Wyoming, MI",0.2365
53061052707,"Marysville, WA",0.2364
27123036900,"West Seventh, Saint Paul, MN",0.2329
48201430800,"Westside, Houston, TX",0.2318
36027110005,"Pawling, NY",0.2318
6061020606,"Granite Bay, CA",0.2315
1067030300,"Shorterville, AL",0.2302
5015950500,"Green Forest, AR",0.2301
12057013414,"Bloomingdale, Valrico, FL",0.2282
32031000300,"Reno, NV",0.2276
35017964200,"Silver City, NM",0.2248
15009030303,"Kihei, HI",0.2243
16075960200,"Payette, ID",0.2236
29019001001,"Columbia, MO",0.2236
36055003700,"Upper Monroe, Rochester, NY",0.2228
1129044000,"Chatom, AL",0.2201
12099007730,"Boca Raton, FL",0.2195
6037264102,"Brentwood, Los Angeles, CA",0.2189
5045030800,"Conway, AR",0.2186
48113018110,"Garland, TX",0.2177
29145020100,"Neosho, MO",0.215
39003011000,"Lima, OH",0.2136
8077001101,"Grand Junction, CO",0.2131
36079010100,"Patterson, NY",0.2131
29097011700,"Carthage, MO",0.2122
24031704403,"Bethesda, MD",0.2119
17027900500,"Centralia, IL",0.2106
6087100900,"Seabright, Santa Cruz, CA",0.2101
42081000300,"Williamsport, PA",0.2091
36087013300,"Piermont, NY",0.208
39049009240,"Norton Field, Columbus, OH",0.2048
22051026500,"Marrero, LA",0.2038
48049951100,"Brownwood, TX",0.2036
13211010500,"Madison, GA",0.2035
48027021700,"Belton, TX",0.2031
53061041304,"Boulevard Bluffs, Everett, WA",0.201
6023011000,"Rohnerville, Fortuna, CA",0.2009
4015953900,"Kingman, AZ",0.2003
18163001900,"STAR, Evansville, IN",0.2003
12061050903,"Vero Beach, FL",0.1982
47107970300,"Athens, TN",0.1977
41067033101,"Forest Grove, OR",0.1972
45013010200,"Hilton Head Island, SC",0.1971
22079011600,"Pineville, LA",0.1967
6059032035,"Mission Viejo, CA",0.196
42091205906,"King of Prussia, PA",0.1957
13145120200,"Hamilton, GA",0.1949
48113000100,"Lakewood, Dallas, TX",0.1911
9001010800,"Cos Cob, Greenwich, CT",0.1907
19111490200,"Fort Madison, IA",0.1907
54081000600,"Beckley, WV",0.1892
20035493500,"Winfield, KS",0.1892
51121020400,"Shenandoah, Blacksburg, VA",0.1875
48439113907,"Southlake, TX",0.1861
55079060102,"Milwaukee, WI",0.1842
12103028500,"Gulfport, FL",0.1836
27003050813,"Minneapolis, MN",0.1827
18163003804,"Evansville, IN",0.1823
6061021304,"Lincoln, CA",0.1816
41003000600,"Corvallis, OR",0.1814
6097150500,"Glen Ellen, CA",0.1808
25005613600,"Taunton, MA",0.1779
45051060209,"Conway, SC",0.1768
42003521402,"Monroe Heights, Monroeville, PA",0.1768
29095011300,"Independence, MO",0.1766
25027709502,"Leominster, MA",0.1753
25005613400,"Taunton, MA",0.1742
1073012915,"Vestavia Hills, AL",0.1736
36119011300,"Irvington, NY",0.1714
53033024100,"Clyde Hill, WA",0.1713
39119911800,"Zanesville, OH",0.17
45015020301,"Bonneau, SC",0.1685
55079011300,"East Town, Milwaukee, WI",0.1684
12053041204,"Forest Oaks, Spring Hill, FL",0.1681
55055101100,"Jefferson, WI",0.1664
18095001800,"Anderson, IN",0.166
37135012201,"Chapel Hill, NC",0.1641
36119009600,"Highlands, White Plains, NY",0.1641
53025010300,"Soap Lake, WA",0.1619
48201251502,"Kingwood, Houston, TX",0.1602
12133970103,"Chipley, FL",0.158
47099960501,"Lawrenceburg, TN",0.1561
48053960600,"Marble Falls, TX",0.1542
45045001102,"Greenville, SC",0.1521
24003730603,"Millersville, MD",0.1513
26125134700,"Walled Lake, MI",0.1491
12109020602,"St. Augustine, FL",0.1473
48491020110,"Georgetown, TX",0.1459
37089930100,"Hendersonville, NC",0.1459
24031704300,"Kensington, MD",0.1458
29183310502,"Saint Charles, MO",0.1442
17107953100,"Lincoln, IL",0.1435
18003003901,"Lakeshore Community, Fort Wayne, IN",0.1418
42091203208,"Blue Bell, PA",0.1407
1121011000,"Talladega, AL",0.1407
20091053202,"Overland Park, KS",0.1388
9003515000,"Highland Park, Manchester, CT",0.1386
26161400400,"Burns Park, Ann Arbor, MI",0.135
51750010101,"Radford, VA",0.1336
34003057102,"Wallington, NJ",0.1335
39027964700,"Wilmington, OH",0.132
42085030300,"Hermitage, PA",0.1319
45045003008,"Simpsonville, SC",0.1314
12035060105,"Palm Coast, FL",0.1305
39055311700,"Chagrin Falls, OH",0.1303
29183311712,"O'Fallon, MO",0.1299
13121009300,"Buckhead, Atlanta, GA",0.1297
4025001702,"Sedona, AZ",0.1297
12099007006,"Boca Raton, FL",0.1292
20091051904,"Oak Park, Overland Park, KS",0.1291
31055007456,"Millard, Omaha, NE",0.1255
36103147803,"Sayville, NY",0.1218
6041130202,"Sausalito, CA",0.1217
8069000100,"Old Town, Fort Collins, CO",0.1214
51720960100,"Norton, VA",0.1213
27053109800,"Southwest Minneapolis, Minneapolis, MN",0.1211
50007003301,"South Burlington, VT",0.121
13321950600,"Sylvester, GA",0.1195
41071030102,"Newberg, OR",0.1194
18089042902,"Cedar Lake, IN",0.1193
6083001402,"Montecito, CA",0.1176
39061005000,"Hyde Park, Cincinnati, OH",0.1163
8043978500,"Cañon City, CO",0.1154
53041971500,"Chehalis, WA",0.1122
39123050500,"Port Clinton, OH",0.1117
41047002700,"Salem, OR",0.1093
17043846209,"Naperville, IL",0.1071
19101090400,"Fairfield, IA",0.1069
13117130301,"Cumming, GA",0.1061
20057961700,"Ford, KS",0.1059
17167002000,"Springfield, IL",0.1048
39113021700,"Dayton, OH",0.1028
45051051404,"Surfside Beach, SC",0.0993
1117030304,"Birmingham, AL",0.099
29189216600,"Richmond Heights, MO",0.099
29077004102,"Springfield, MO",0.0958
24005430600,"Relay, Halethorpe, MD",0.0954
41019100000,"Glide, OR",0.0948
55071000100,"Manitowoc, WI",0.0936
26163582100,"Southgate, MI",0.0932
36103135003,"Saint James, NY",0.0931
21067002302,"Lansdowne Merrick, Lexington, KY",0.0925
36011041500,"Auburn, NY",0.0903
42003457200,"Bridgeville, PA",0.0895
27049080102,"Red Wing, MN",0.0871
29213480502,"Hollister, MO",0.0858
34029722200,"Toms River, NJ",0.0849
36015010500,"Horseheads, NY",0.0845
24025303102,"Churchville, MD",0.0844
25011040600,"Shutesbury, MA",0.083
34001013102,"Margate City, NJ",0.0821
34025801200,"Middletown, NJ",0.0801
46011958802,"Brookings, SD",0.079
21049020106,"Winchester, KY",0.0771
34033021000,"Elmer, NJ",0.0767
42045408400,"Haverford, PA",0.0762
41001950500,"Baker City, OR",0.076
39113040303,"Centerville, OH",0.0756
50011010500,"Franklin County, VT",0.071
42017105400,"Newtown, PA",0.0701
17043842000,"Glen Ellyn, IL",0.0698
55063010202,"Holmen, WI",0.0691
5083950300,"Paris, AR",0.0677
34029732001,"Lanoka Harbor, Lacey Township, NJ",0.0673
12109020601,"Ponte Vedra Beach, FL",0.0667
27123040100,"Saint Paul, MN",0.0664
47131965900,"Kenton, TN",0.0663
26121004000,"Twin Lake, MI",0.0647
29183312194,"Wentzville, MO",0.0621
37189920602,"Boone, NC",0.0611
34019010702,"Pittstown, Franklin, NJ",0.0585
39153520202,"Cuyahoga Falls, OH",0.0582
42079211702,"Wilkes-Barre, PA",0.0572
42071013303,"Willow Street, PA",0.0562
29147470400,"Maryville, MO",0.0558
31041971900,"Broken Bow, NE",0.055
18149953800,"Knox, IN",0.0536
42017105004,"Holland, PA",0.0536
26111291400,"St. Louis, MI",0.0516
26115833000,"Ottawa Lake, MI",0.0502
36021000800,"Spencertown, NY",0.0472
20179952600,"Hoxie, KS",0.0467
29057480200,"Lockwood, MO",0.0464
54081000803,"Shady Spring, WV",0.0463
30009000200,"Bridger, MT",0.0461
42069111200,"Blakely, PA",0.0456
18141012100,"North Liberty, IN",0.0452
55069960700,"Merrill, WI",0.045
54003971800,"Gerrardstown, WV",0.0449
21083020900,"Mayfield, KY",0.0447
55055100900,"Jefferson, WI",0.0437
39113050402,"Miamisburg, OH",0.0436
42115032902,"Forest City, PA",0.0434
30031000300,"Three Forks, MT",0.042
21151010101,"Richmond, KY",0.0419
19017004100,"Waverly, IA",0.0418
36043010701,"Little Falls, NY",0.0415
27137010200,"Proctor, MN",0.041
18095011000,"Anderson, IN",0.041
29195090800,"Marshall, MO",0.0392
39093094100,"LaGrange, OH",0.0392
26157000400,"Cass City, MI",0.0387
25011040300,"Northfield, MA",0.0386
31167962100,"Stanton, NE",0.0377
18059410600,"Greenfield, IN",0.037
36093033102,"Delanson, NY",0.0354
47181950200,"Waynesboro, TN",0.0353
47087960200,"Granville, TN",0.0344
20139010300,"Lyndon, KS",0.0338
42021010300,"Johnstown, PA",0.0334
23031024000,"East Waterboro, Waterboro, ME",0.0321
47059090600,"Greeneville, TN",0.0314
55027960200,"Mayville, WI",0.0312
33013039000,"Hopkinton, NH",0.0311
51139030400,"Stanley, VA",0.031
36033950700,"Saint Regis Falls, NY",0.0306
55103970100,"Richland Center, WI",0.0294
36007012000,"Lisle, NY",0.0293
47129110500,"Oakdale, TN",0.0285
39027964800,"Wilmington, OH",0.0285
39067975600,"Jewett, OH",0.0285
29005950100,"Tarkio, MO",0.0236
17057952900,"Canton, IL",0.0234
42087961200,"McClure, PA",0.0233
39157021300,"Sugarcreek, OH",0.0225
39171950200,"Edon, OH",0.0198
21153970200,"Salyersville, KY",0.0179
17049950300,"Altamont, IL",0.0152
21153970300,"Salyersville, KY",0.0104
29510213900,,
47011011401,"Cleveland, TN",0.08
49049010216,"Lehi, UT",0.0593
17197884006,"Wilmington, IL",0.05
27025110100,"Rush City, MN",0.0375
55067960300,"Antigo, WI",0.0244
18087970600,"Wolcottville, IN",0.0229
51610451400,,
12086980800,"Opa-locka, FL",1
17031670200,"Englewood, Chicago, IL",1
20209043804,"Santa Fe, Kansas City, KS",1
17031350400,"Douglas, Chicago, IL",1
72149720300,"Villalba, PR",0.9975
72035260201,"Cayey, PR",0.9973
72031051001,"Trujillo Alto, PR",0.9961
72025202800,"Caguas, PR",0.9959
72127009400,"San Juan, PR",0.9958
72097082103,"Mayagüez, PR",0.9957
72061040700,"Guaynabo, PR",0.9956
72145560402,"Vega Baja, PR",0.9955
72079850300,"Lajas, PR",0.9954
6037239320,"South Los Angeles, Los Angeles, CA",0.9951
37107010400,"Kinston, NC",0.995
72011810200,"Añasco, PR",0.9943
72125840600,"San Germán, PR",0.9943
6037540700,"South Los Angeles, Los Angeles, CA",0.994
72111730300,"Penuelas, PR",0.9926
36081033402,"Queens County, NY",0.9925
24510180100,"Poppleton, Baltimore, MD",0.9918
6037240800,"South Los Angeles, Los Angeles, CA",0.9915
72119130101,"Río Grande, PR",0.9906
6037542200,"Compton, CA",0.9901
26163536600,"Detroit, MI",0.9898
12086009904,"Miami Gardens, FL",0.9896
72021030104,"Bayamón, PR",0.9884
48113003902,"Dallas, TX",0.9882
72071410300,"Isabela, PR",0.9872
24033803300,"Hyattsville, MD",0.9869
48113011401,"Dallas, TX",0.9864
29510110400,"Jeff-Vander-Lou, St. Louis, MO",0.9862
36005039902,"Bronx County, NY",0.9843
12095010400,"Northwest Orlando, Orlando, FL",0.9842
9003503500,"Upper Albany, Hartford, CT",0.984
36005035800,"Bronx County, NY",0.9838
26163532700,"Virginia Park, Detroit, MI",0.9834
34013010400,"East Orange, NJ",0.9832
24510160300,"Sandtown-Winchester, Baltimore, MD",0.9827
24033801808,"Hillcrest Heights, MD",0.9827
24510151200,"Park Circle, Baltimore, MD",0.9824
36005009300,"Bronx County, NY",0.9822
36061001002,"Lower Manhattan, New York, NY",0.9818
36081063200,"Queens County, NY",0.9817
36059406802,"Hempstead, NY",0.9817
24033802001,"Suitland, Suitland-Silver Hill, MD",0.9814
12086009504,"Miami, FL",0.9804
39035112500,"Hough, Cleveland, OH",0.9796
36005022703,"Bronx County, NY",0.9794
13089023313,"Lithonia, GA",0.9791
26163518600,"Detroit, MI",0.9787
47157022022,"Whitehaven, Memphis, TN",0.9781
26163506500,"Krainz Woods, Detroit, MI",0.9778
22055000900,"Lafayette, LA",0.9775
26163501300,"Morningside, Detroit, MI",0.9773
6025011400,"El Centro, CA",0.9769
26163541700,"Detroit, MI",0.9761
6065045707,"Coachella, CA",0.9748
48061011000,"Harlingen, TX",0.9746
48201212400,"Northeast Houston, Houston, TX",0.9745
48029170300,"Inner West Side, San Antonio, TX",0.974
48201220900,"Northeast Houston, Houston, TX",0.9735
12099002200,"North Tamarind, West Palm Beach, FL",0.9727
29095005602,"East Side, Kansas City, MO",0.9725
